uhf_code,uhf_name,borough,year,overdose_deaths,age_adj_rate_per_100k,rate_pct_change,suppressed,source_report,source_url,note
101,Kingsbridge-Riverdale,Bronx,2023,23.0,32.0,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
102,Northeast Bronx,Bronx,2023,54.0,31.4,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
103,Fordham-Bronx Park,Bronx,2023,158.0,79.8,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
104,Pelham-Throgs Neck,Bronx,2023,121.0,50.6,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
105,Crotona-Tremont,Bronx,2023,186.0,113.6,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
106,Highbridge-Morrisania,Bronx,2023,173.0,105.5,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
107,Hunts Point-Mott Haven,Bronx,2023,139.0,134.8,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
201,Greenpoint,Brooklyn,2023,17.0,16.5,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
202,Downtown-Heights-Slope,Brooklyn,2023,67.0,33.0,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
203,Bedford Stuyvesant-Crown Heights,Brooklyn,2023,143.0,51.0,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
204,East New York,Brooklyn,2023,105.0,64.1,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
205,Sunset Park,Brooklyn,2023,22.0,23.8,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
206,Borough Park,Brooklyn,2023,40.0,17.2,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
207,East Flatbush-Flatbush,Brooklyn,2023,71.0,28.9,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
208,Canarsie-Flatlands,Brooklyn,2023,42.0,24.5,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
209,Bensonhurst-Bay Ridge,Brooklyn,2023,37.0,24.3,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
210,Coney Island,Brooklyn,2023,72.0,33.4,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
211,Williamsburg-Bushwick,Brooklyn,2023,72.0,42.7,,False,databrief150,https://www.nyc.gov/assets/doh/downloads/pdf/epi/databrief150-unintentional-drug-death-2025.pdf,2023 values published in the 2024 report table; 2023 and 2024 data are provisional.
